Id,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Agility,Sprint
91,Artsiom Parakhouski,2010,28.49,82.25,83.75,85.00,109.50,26.50,136.00,25.50,135.00,268.00,6.00,9.00,10.50,12.07,3.33
92,Charles Garcia,2010,28.49,80.25,81.25,85.75,107.50,30.50,138.00,24.50,132.00,232.00,7.00,8.75,9.00,11.65,3.23
93,Jon Scheyer,2010,28.49,76.75,78.00,75.25,99.00,35.50,138.17,29.58,132.62,180.00,5.40,7.75,9.50,11.33,3.30
94,Manny Harris,2010,28.49,76.00,77.50,79.25,102.00,35.50,138.17,29.58,132.62,185.00,3.80,8.50,9.00,11.33,3.30
96,Sherron Collins,2010,28.49,70.25,71.75,74.50,94.00,33.00,127.00,27.50,121.50,217.00,9.20,8.50,9.50,12.31,3.24
97,Sylven Landesberg,2010,28.49,76.75,78.25,81.00,100.50,32.00,132.50,28.00,128.50,210.00,11.60,8.75,10.75,11.59,3.36
98,Jimmer Fredette,2011,10.00,72.75,74.50,76.50,96.50,33.00,129.50,28.00,124.50,196.00,7.70,8.00,8.50,10.42,3.21
99,Klay Thompson,2011,11.00,77.75,79.25,81.00,103.50,31.50,135.00,26.50,130.00,206.00,8.00,8.75,9.25,10.99,3.24
100,Alec Burks,2011,12.00,77.00,78.00,82.00,103.50,36.00,139.50,29.00,132.50,193.00,5.10,9.00,8.25,10.96,3.17
101,Markieff Morris,2011,13.00,79.75,81.25,82.75,106.50,31.50,138.00,27.00,133.50,241.00,10.20,8.50,8.25,11.33,3.40
102,Marcus Morris,2011,14.00,79.00,80.75,82.00,105.50,33.00,138.50,29.00,134.50,230.00,8.00,8.25,8.50,11.33,3.15
103,Kawhi Leonard,2011,15.00,78.00,79.00,87.00,106.00,32.00,138.00,25.50,131.50,227.00,5.40,9.75,11.25,11.45,3.15
104,Nikola Vucevic,2011,16.00,82.25,83.75,88.50,112.50,25.00,137.50,23.50,136.00,260.00,6.10,9.25,10.25,12.02,3.27
105,Iman Shumpert,2011,17.00,76.25,77.50,81.50,99.50,42.00,141.50,36.50,136.00,222.00,6.50,9.00,9.00,11.10,3.18
106,Chris Singleton,2011,18.00,79.75,81.00,85.00,103.50,37.50,141.00,30.50,134.00,230.00,7.40,9.25,10.00,11.33,3.09
107,Tobias Harris,2011,19.00,78.50,79.75,83.00,103.50,37.50,141.00,31.50,135.00,223.00,8.40,8.75,9.00,10.96,3.17
108,Derrick Williams,2011,2.00,79.25,80.75,85.50,108.00,34.50,142.50,29.00,137.00,248.00,10.80,9.00,9.75,11.03,3.23
109,Nolan Smith,2011,21.00,73.50,75.50,77.50,99.00,34.00,133.00,28.50,127.50,188.00,5.60,8.50,9.25,11.05,3.17
110,Kenneth Faried,2011,22.00,78.00,79.50,84.00,108.00,35.00,143.00,30.50,138.50,225.00,6.30,8.50,10.25,11.35,3.26
111,Marshon Brooks,2011,25.00,76.25,77.25,85.00,101.00,38.50,139.50,34.00,135.00,195.00,5.20,9.00,10.50,10.74,3.09
112,Jordan Hamilton,2011,26.00,78.75,80.50,81.50,104.00,32.00,136.00,25.00,129.00,228.00,9.80,9.00,9.25,11.47,3.30
113,JaJuan Johnson (Purdue),2011,27.00,81.00,82.00,86.00,107.50,38.00,145.50,33.50,141.00,220.00,7.50,9.00,10.00,11.21,3.14
114,Norris Cole,2011,28.00,72.25,73.75,74.25,95.50,38.50,134.00,29.50,125.00,174.00,4.70,8.50,9.50,10.07,3.22
115,Cory Joseph,2011,29.00,74.00,75.25,77.50,99.00,35.00,134.00,27.50,126.50,186.00,9.70,8.50,10.50,10.75,3.27
116,Enes Kanter,2011,3.00,81.75,83.25,85.50,109.50,32.50,142.00,26.00,135.50,259.00,5.90,9.50,10.75,11.30,3.26
117,Jimmy Butler,2011,30.00,78.00,79.75,79.50,101.50,39.00,140.50,32.00,133.50,222.00,5.40,9.00,9.00,11.92,3.15
